canton,habitants_k,tx_0_19,tx_20_64,tx_65,tx_pop_urbaine,tx_pop_etrangere,superficie_km2,tx_chomage,tx_activite,PIB_hab,tx_aide_sociale,tx_surf_agr_bio,surf_agricole_ha
ZH,1539.3,19.8,63.2,17.0,99.3,27.1,1728.9,3.1,82.2,104820,3.1,14.6,22.3
BE,1039.5,19.0,59.9,21.1,74.7,16.6,5959.4,2.5,82.4,79115,4.0,13.4,18.7
LU,413.1,20.3,61.9,17.8,63.9,18.8,1493.3,2.2,82.9,69256,2.4,10.7,16.8
UR,36.7,20.0,59.2,20.8,88.6,12.6,1076.3,1.4,79.7,54291,1.2,15.4,12.4
SZ,160.5,19.3,62.6,18.2,82.1,21.9,908.0,1.5,82.1,62040,1.4,12.3,15.4
OW,37.9,20.0,60.7,19.3,27.6,14.7,490.6,1.2,84.4,67458,1.1,35.0,12.8
NW,43.1,18.1,61.0,20.9,50.5,14.8,275.9,1.4,84.8,73729,0.9,20.8,14.1
GL,40.6,19.2,60.5,20.4,76.7,24.2,685.4,2.1,82.1,69860,2.0,31.5,19.6
ZG,127.6,20.3,62.4,17.3,100.0,28.3,238.7,2.5,80.1,160884,1.6,16.3,19.4
FR,321.8,22.2,61.8,16.0,74.8,22.8,1671.4,3.3,79.3,61237,2.3,8.9,27.5
SO,275.2,19.0,61.1,19.9,85.9,22.9,790.4,2.9,81.4,68640,3.4,16.7,23.5
BS,195.8,17.3,62.9,19.8,100.0,36.6,37.0,3.8,77.5,203967,6.0,41.0,35.2
BL,289.5,19.2,58.7,22.2,97.6,23.1,517.7,2.5,77.6,73550,3.0,18.0,23.6
SH,82.3,18.7,59.9,21.4,89.7,26.1,298.4,3.6,79.9,91379,2.7,6.5,29.7
AR,55.4,20.2,59.9,19.9,76.6,16.5,242.9,2.1,80.6,58807,2.3,23.9,17.2
AI,16.1,21.1,59.3,19.6,0.0,11.3,172.4,1.1,79.9,64868,0.9,6.4,16.0
SG,510.7,20.5,61.0,18.5,82.4,24.4,2030.7,2.5,81.2,76219,2.1,13.8,18.2
GR,199.0,17.8,60.5,21.7,44.9,18.8,7105.0,1.9,81.6,73366,1.3,65.8,25.0
AG,685.8,20.2,61.8,17.9,85.0,25.3,1404.0,3.4,81.7,64996,2.1,11.3,19.2
TG,279.5,20.3,61.8,17.9,67.0,25.2,991.5,2.5,81.6,62739,1.5,15.8,19.5
TI,351.5,18.0,59.1,23.0,92.8,27.6,2812.3,3.6,72.2,87612,2.7,22.2,12.9
VD,805.1,21.9,61.5,16.6,89.6,33.0,3212.2,4.5,76.5,74060,4.5,10.6,30.0
VS,345.5,19.6,60.5,19.9,78.9,22.6,5224.8,3.7,77.7,56627,1.8,21.2,13.5
NE,176.5,21.0,59.8,19.3,87.8,25.3,802.3,4.6,76.2,93277,7.0,9.7,40.5
GE,504.1,21.0,62.5,16.4,100.0,40.0,282.3,4.9,73.9,109847,6.0,14.1,29.1
JU,73.6,20.8,57.9,21.3,53.7,14.7,838.6,4.7,76.2,68876,3.3,19.7,40.0
